mode,top,name,acc,k
place,2,fsq,0.820058997,0.7
place,3,fsq,0.87020649,0.7
place,4,fsq,0.8820059,0.7
hover,0,fsq,0.675438596,0.7
hover,1,fsq,0.798245614,0.7
hover,2,fsq,0.847953216,0.7
hover,3,fsq,0.891812865,0.7
hover,4,fsq,0.906432749,0.7
place,0,wangchen1,0.846875,0.2
place,1,wangchen1,0.940625,0.2
place,2,wangchen1,0.95625,0.2
place,3,wangchen1,0.96875,0.2
place,4,wangchen1,0.975,0.2
hover,0,wangchen1,0.893939394,0.2
hover,1,wangchen1,0.963636364,0.2
hover,2,wangchen1,0.96969697,0.2
hover,3,wangchen1,0.981818182,0.2
hover,4,wangchen1,0.987878788,0.2
place,0,cai,0.488095238,0.2
place,1,cai,0.613095238,0.2
place,2,cai,0.669642857,0.2
place,3,cai,0.711309524,0.2
place,4,cai,0.735119048,0.2
hover,0,cai,0.694362018,0.2
hover,1,cai,0.816023739,0.2
hover,2,cai,0.857566766,0.2
hover,3,cai,0.881305638,0.2
hover,4,cai,0.893175074,0.2
place,0,luyiqin,0.693939394,0.2
place,1,luyiqin,0.809090909,0.2
place,2,luyiqin,0.875757576,0.2
place,3,luyiqin,0.909090909,0.2
place,4,luyiqin,0.93030303,0.2
hover,0,luyiqin,0.510574018,0.2
hover,1,luyiqin,0.622356495,0.2
hover,2,luyiqin,0.697885196,0.2
hover,3,luyiqin,0.740181269,0.2
hover,4,luyiqin,0.788519637,0.2
place,0,fjy,0.68373494,0.2
place,1,fjy,0.798192771,0.2
place,2,fjy,0.879518072,0.2
place,3,fjy,0.909638554,0.2
place,4,fjy,0.924698795,0.2
hover,0,fjy,0.675595238,0.2
hover,1,fjy,0.827380952,0.2
hover,2,fjy,0.869047619,0.2
hover,3,fjy,0.898809524,0.2
hover,4,fjy,0.907738095,0.2
place,0,lc,0.703812317,0.2
place,1,lc,0.815249267,0.2
place,2,lc,0.847507331,0.2
